Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
3W,PLAUDIT TECHNO INDIA PVT LTD,0,0,271,503,504,255,206,34,18,360,2151
LMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,0,0,1,0,0,0,0,0,1
MMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,0,0,0,0,0,2,1,0,0,5,8
LMV,PONMALAR TRAILERS,1,0,2,0,0,0,0,0,0,0,3
3W,POOSHPAK AUTOMOBILES PVT LTD,0,0,0,0,0,0,2,1,65,249,317
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),0,0,0,0,0,0,0,23,214,89,326
3W,PORSCHE AG,0,0,1,0,0,0,0,0,0,0,1
LMV,PORSCHE AG GERMANY,0,0,0,0,0,0,0,60,96,54,210
2W,PORWAL ELECTRIC,0,0,0,0,0,0,0,0,0,5,5
LMV,POWERLAND AGRO TRACTOR VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,9,9
3W,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,0,0,0,35,23,15,30,40,101,30,274
3W,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,0,0,0,0,0,0,0,6,8,9,23
3W,PRAG MOTORS,0,0,0,5,0,10,2,47,206,94,364
3W,PRAGYA AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,33,79,112
3W,PRAJAPATI ENG. WORKS,0,0,1,0,0,0,0,0,0,0,1
3W,PRAJJWAL MAHAJAN TRADERS,0,0,0,0,0,0,0,0,13,99,112
3W,PRAKASH ENTERPRISES,0,0,0,2,19,30,48,46,65,65,275
3W,PREET TRACTORS PVT. LTD.,0,0,10,0,0,0,0,0,0,0,10
3W,PREMIER LTD,0,0,1,0,0,0,0,0,0,0,1
3W,PRESTANTIA CREATIONS PVT LTD,0,0,18,23,9,13,21,0,6,11,101
3W,PRIDE E-MOTORS,0,0,0,0,0,0,16,321,500,220,1057
3W,PRIMA PVT LTD,0,0,0,0,2,0,0,0,0,0,2
3W,PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,40,99,139
3W,PUBANG ETRON ELECTRIC MOTOR PVT LTD,0,0,38,1013,2606,1354,457,120,16,12,5616
3W,PUNEET OVERSEAS  INC,0,0,0,0,0,5,13,15,0,0,33
3W,PUNJAB BODY BUILDERS,0,0,0,0,0,0,0,0,22,37,59
LMV,PUNJAB TRACTORS LIMITED,0,1,0,0,0,0,0,0,0,0,1
2W,PUR ENERGY PVT LTD,0,0,0,0,0,720,11044,14953,7191,3143,37051
3W,PURVA UDYOG PVT LTD,0,0,0,0,1,0,13,35,23,8,80
3W,PUSHKAR INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
3W,PYTHOX MOTORS PVT LTD,0,0,0,0,14,23,45,125,338,462,1007
2W,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,0,0,81,28,109
2W,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),0,0,0,0,0,0,0,0,10,21,31
2W,QUANTUM ENERGY LTD.,0,0,0,0,0,0,0,25,2371,3178,5574
LMV,QUANTUM ENERGY LTD.,0,0,0,0,0,0,0,0,2,0,2
LMV,R.N.A.I.P.LTD,1,0,0,0,0,0,0,0,0,0,1
3W,R3 ENTERPRISES,0,0,0,0,77,229,96,170,501,276,1349
3W,RAAJ AUTOMOTIVE,0,0,1,0,0,0,0,0,0,0,1
3W,RACCOON MOTORS PVT LTD,0,0,0,0,0,7,35,20,18,9,89
3W,RACHANACREATIONS AUTO PVT LTD,0,0,0,0,0,0,0,0,0,10,10
3W,RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,12,12
3W,RAHUL AGRO EXPORTS PVT LTD,0,0,77,90,140,77,18,37,124,42,605
2W,RAJ AUTOMOTIVE,0,0,0,0,1,0,0,0,0,0,1
3W,RAJ AUTOMOTIVE,0,0,9,18,11,22,26,101,99,52,338
3W,RAJA ARTS HITECH ENGINEERING,0,0,0,0,0,0,0,0,1,0,1
3W,RAJESH STEEL AND WIRE INDUSTRIES,0,0,18,148,135,57,32,30,8,2,430
LMV,RAJESH STEEL AND WIRE INDUSTRIES,0,0,0,1,0,0,0,0,0,0,1
3W,RAJIV RAJ VEHICLES PVT LTD,0,0,1,46,28,35,17,0,0,0,127
3W,RAJKAMAL MOTORS LTD,0,0,1,0,0,0,0,0,0,0,1
3W,RAM JANKI ENG. WORK,0,0,4,0,0,0,0,0,0,0,4
3W,RAMA INDUSTRIES,0,0,0,0,0,0,0,0,4,18,22
3W,RAMON INDUSTRIES,0,0,0,133,238,63,54,71,114,45,718
3W,RANA ENGINEER WORKS,0,0,0,0,0,0,5,35,575,564,1179
3W,RASANDIK ENGINEERING,0,0,6,0,0,0,0,0,0,0,6
3W,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,0,0,13,129,58,10,10,47,152,150,569
3W,RASANDIK MOTORS PVT LTD,0,0,12,2,0,0,0,0,0,0,14
3W,RASIWASIA RASAYAN PVT LTD,0,0,60,22,19,2,1,10,2,4,120
LMV,RATHNA ENGINEERING COMPANY,2,1,0,0,0,0,0,0,0,0,3
3W,RAVI METAL WORKS,0,0,0,0,0,0,0,0,20,452,472
3W,RAYON ENGINEERS,0,0,67,135,50,4,27,333,1176,990,2782
3W,RCJ AUTO FORGE PVT LTD,0,0,0,0,0,1,54,281,609,530,1475
3W,RD AND CO,0,0,0,0,0,3,3,9,1,0,16
3W,RDS INDUSTRIES,0,0,0,0,0,0,0,0,0,110,110
3W,REDDY AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,4,4
3W,REEP INDUSTRIES PVT LTD,0,0,0,19,40,5,3397,188,1080,759,5488
LMV,REEP INDUSTRIES PVT LTD,0,0,0,0,2,0,0,1,3,0,6
3W,REFLEX CONTROL SYSTEM PVT,0,3,22,7,0,2,0,0,0,0,34
3W,REFLEX CONTROL SYSTEM PVT .LTD,0,0,40,197,112,53,41,63,96,42,644
2W,REGENERATION E BIKES,0,0,0,0,0,0,0,0,0,6,6
2W,RENAULT INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,RENAULT INDIA PVT LTD,0,0,14,0,0,0,0,0,0,0,14
LMV,RENAULT INDIA PVT LTD,2,1,0,0,0,0,0,0,2,0,5
3W,REPUBLIC MOTORS,0,0,7,84,54,44,105,119,237,143,793
LMV,REPUBLIC MOTORS,0,0,0,0,0,0,1,0,0,0,1
3W,REPUBLIC PVT.LTD.,0,0,1,1,0,0,0,0,0,0,2
LMV,REVA ELECTRIC CAR CO,5,1,26,19,0,0,0,0,0,0,51
2W,REVOLT INTELLICORP PVT LTD,0,0,0,0,480,2098,4704,14910,6976,4650,33818
2W,RGM BUSINESS PLUS PVT LTD,0,0,0,0,0,0,408,1564,822,176,2970
3W,RIBAND ELECTRIC PVT LTD,0,0,0,0,0,0,18,200,496,223,937
3W,RICHFORD ALLIANZ PVT LTD,0,0,0,0,0,0,0,0,0,162,162
2W,RIVER MOBILITY PVT LTD,0,0,0,0,0,0,0,0,92,1134,1226
3W,RIYA ENTERPRISE,0,0,0,1,10,5,2,31,31,5,85
3W,ROANSOME MOTORS,0,0,0,0,0,0,0,0,4,65,69
3W,ROARLEO MOTOR PVT LTD,0,0,0,59,88,52,43,136,338,180,896
LMV,ROLLS ROYCE,0,0,0,0,0,0,0,0,0,1,1
LMV,ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),0,0,0,0,0,0,0,0,1,3,4
LMV,ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),0,0,0,0,0,0,0,0,0,2,2
2W,ROWWET MOBILITY PVT LTD,0,0,0,0,0,1,60,143,68,260,532
2W,ROYAL-ENFIELD (UNIT OF EICHER LTD),56,34,4,1,1,0,0,0,0,0,96
3W,ROYAL-ENFIELD (UNIT OF EICHER LTD),0,0,1,0,0,0,0,0,0,0,1
LMV,ROYAL-ENFIELD (UNIT OF EICHER LTD),1,0,0,0,0,0,0,0,0,0,1
3W,ROYCE EV PVT LTD,0,0,0,0,0,0,0,0,0,246,246
3W,RP MOTORS,0,0,0,0,0,0,0,0,32,107,139
3W,RSD SECURITY SOLUTIONS PVT LTD,38,101,309,270,377,87,11,1,1,0,1195
3W,RUDRA AUTO INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
3W,RUTBA PRODUCT PVT LTD,0,0,10,328,492,275,415,518,629,405,3072
3W,S AND J INDUSTRIES,0,0,0,79,140,62,49,189,126,44,689
3W,S B TRADERS,0,0,0,0,0,0,0,0,29,83,112
3W,S E ASIA CO,0,0,0,1,2,0,0,0,0,0,3
LMV,S J TRAILORS,0,0,7,0,0,0,0,0,0,0,7
LMV,"S M TRACTOR TRALERS, SHAHAPUR",0,0,2,0,0,0,0,0,0,0,2
3W,S S GLOBAL,0,0,0,45,106,79,61,11,6,26,334
3W,S.M. LTD.,0,0,1,0,0,0,0,0,0,0,1
3W,S.P. ELECTRONICS,0,0,3,6,0,0,0,0,0,0,9
3W,S.S.AGRO TECH,0,0,10,1,0,0,0,0,0,0,11
3W,S.V AUTOMOTIVE,0,212,409,209,59,15,9,0,0,0,913
3W,SAATHI TRADING CO,0,0,2,0,0,0,0,0,0,0,2
3W,SAERA ELECTRIC AUTO PVT LTD,140,1203,1532,3226,5080,4153,7098,19314,29321,16408,87475
LMV,SAERA ELECTRIC AUTO PVT LTD,0,0,1,2,0,1,0,0,1,0,5
MMV,SAERA ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,1,0,1
LMV,SAGAR AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,0,1
3W,SAGAR FABRICATIONS,0,0,0,0,0,0,0,16,10,17,43
3W,SAGAS AUTOTIC PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,SAHKAR AGRO IND,0,0,1,0,0,0,0,0,0,0,1
3W,SAHNIANAND E VEHICLES PVT LTD,0,0,0,0,0,0,0,1133,5788,5074,11995
2W,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,22,7,29
3W,SAIFIAN SOLAR PVT LTD,0,0,0,0,0,0,0,0,0,29,29
3W,SAINIK CYCLE MART,0,0,0,0,0,0,7,142,36,11,196
3W,SAKSHAM TECH AUTO,0,0,26,2,0,0,0,0,0,0,28
3W,SAKSHAM TECH AUTOMOBILES,0,0,0,55,35,2,6,241,175,65,579
3W,SAKSHAM TRADING COMPANY,0,181,272,354,243,81,31,17,4,97,1280
LMV,SAKTHI VIJAY INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
LMV,SAKTHI VINAYAKA ENGINEERING WORKS,0,0,2,0,0,0,0,0,0,0,2
2W,SAME DEUTZ - FAHR INDIA (P) LTD.,0,1,0,0,0,0,0,0,0,0,1
3W,SAME DEUTZ - FAHR INDIA (P) LTD.,0,1,2,0,0,0,0,0,0,0,3
3W,SAMEER ENGINEERING,0,0,0,0,16,3,2,0,5,21,47
3W,SAMRAT ELECTRIC VEHICLE,0,0,1,13,59,20,37,353,677,386,1546
3W,SAN MOTORS LIMITED,0,0,1,0,0,0,0,0,0,0,1
3W,SANCHAL AUTOMOBILES PVT LTD,0,0,0,0,56,22,0,0,0,0,78
3W,SANT ENGG WORKS,0,0,11,0,0,0,0,0,0,0,11
3W,SARAVANA ENGINEERING WORKS,0,0,0,0,0,0,0,0,204,4,208
LMV,SARAVANA TRAILER,0,0,1,0,0,0,0,0,0,0,1
3W,SAS MOTORS LTD.,7,13,4,0,0,0,0,0,0,0,24
3W,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,0,0,10,233,182,341,565,1310,2831,2169,7641
3W,SAURYAA SHARYO CORPORATION,0,4,12,2,0,0,0,1,2,0,21
2W,SBTEK E MOTO PVT LTD,0,0,0,0,0,14,46,19,22,8,109
3W,SCOOTERS INDIA LTD,0,0,1,0,0,5,4,5,1,1,17
3W,SEALION AUTOMOBILE PVT LTD,0,0,0,0,14,13,22,36,36,13,134
2W,SEEKA E MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,12,15
3W,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,0,0,0,40,54,28,23,55,54,37,291
3W,SETH INDUSTRIAL CORPORATION,0,0,0,32,79,59,130,401,911,700,2312
3W,SETHJI INDUSTRIES,0,0,88,50,6,6,4,0,0,0,154
3W,SF2 E VEHICLE PVT LTD,0,0,0,0,0,0,0,16,49,14,79
3W,SGL INDUSTRIES,0,0,0,0,0,1,0,0,0,0,1
3W,SGLLINE MOTORS PVT LTD,0,0,0,63,28,49,28,60,31,23,282
MMV,SHAH AGRO ENGG WORKS,1,0,0,0,0,0,0,0,0,0,1
3W,SHAILENDRA AUTOS PVT LTD,0,0,0,0,0,0,0,0,40,91,131
3W,SHAKTI AUTO GREEN,0,0,63,155,188,191,281,415,787,522,2602
3W,SHAKTIMAN AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0,1
3W,SHALYA AUTO SALES PVT LTD,0,0,0,0,0,0,0,213,617,360,1190
3W,SHAMMI ELECTRONICS,0,0,0,0,0,0,0,0,28,21,49
2W,SHEMA E- VEHCILE & SOLAR PVT LTD,0,0,0,0,0,0,0,0,0,1568,1568
3W,SHERA ELECTRICAL AUTO PVT LTD,0,12,11,20,1,1,0,0,0,0,45
3W,SHIGAN EVOLTZ LTD,0,82,352,565,950,452,505,853,431,145,4335
LMV,SHIGAN EVOLTZ LTD,0,0,0,1,1,0,9,0,0,0,11
3W,SHINE METAL UDYOG PVT LTD,0,0,19,9,0,0,0,0,0,0,28
3W,SHINE METAL UDYOG PVT LTD (UNIT- II),0,0,30,92,61,8,10,5,110,138,454
3W,SHINME ELECTRICAL VEHICLE PVT LTD,0,0,0,0,0,0,0,91,120,72,283
3W,SHIV ENTERPRISES,0,0,0,0,0,0,0,0,0,72,72
3W,SHIV OM INDIA,0,0,633,582,209,40,23,69,197,151,1904
LMV,SHIV TRAILOR INDUSTRIES,0,2,2,0,0,0,0,0,0,0,4
3W,SHIVA ENTERPRISES,0,0,0,0,0,0,0,0,0,65,65
3W,SHIVGANGA ECOGREEN LLP,0,0,0,0,0,0,0,0,0,35,35
3W,SHREE MARUTI NANDAN BUSINESSS (P) LTD,0,0,0,33,69,14,17,181,307,98,719
3W,SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,0,0,44,39,0,0,0,0,0,0,83
3W,SHREYA ENGINEERS,0,0,0,2,14,13,43,13,9,3,97
LMV,SHRI ABIRAMI TRAILERS,2,2,5,8,0,0,0,0,0,0,17
MMV,SHRI ABIRAMI TRAILERS,0,1,0,0,0,0,0,0,0,0,1
LMV,SHRI ANGAMMAL ENGINEERING WORKS,0,0,2,0,0,0,0,0,0,0,2
LMV,SHRI ARUPADAYAN TRAILERS,0,1,0,0,0,0,0,0,0,0,1
3W,SHRI BALAJI ENTERPRISES,0,0,0,175,84,0,1,0,0,0,260
LMV,SHRI BANASHANKARI ENG WORKS,0,1,0,0,0,0,0,0,0,0,1
2W,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,0,0,1
3W,SHRI BARSANA E-VEHICLES PVT LTD,0,0,49,575,794,433,645,1554,4086,3224,11360
LMV,SHRI BARSANA E-VEHICLES PVT LTD,0,0,0,0,0,0,0,1,2,0,3
3W,SHRI CHAMUNDI MOPEDS,0,6,2,0,0,0,0,0,0,0,8
3W,SHRI CHINNAMMAN ENGG. WORKS    ,0,1,1,0,0,0,0,0,0,0,2
LMV,SHRI CHINNAMMAN ENGG. WORKS    ,0,0,0,1,0,0,0,0,0,0,1
LMV,SHRI DEVIKA TRAILERS,1,1,0,0,0,0,0,0,0,0,2
LMV,SHRI GANAPATHY ENGG. WORKS,2,1,1,1,0,0,0,0,0,0,5
LMV,SHRI GANESH TRAILER,1,0,0,0,0,0,0,0,0,0,1
LMV,SHRI JYOTHI ENG. WORKS.,0,1,0,0,0,0,0,0,0,0,1
LMV,SHRI KANAGA TRAILERS TANKAR,0,1,0,0,0,0,0,0,0,0,1
LMV,SHRI KUMAR TRAILERS EQUIPMENTS,0,0,2,0,0,0,0,0,0,0,2
LMV,SHRI LAKSHMI LATHE WORKS,6,11,8,5,0,0,0,0,0,0,30
LMV,SHRI LAXMI ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
LMV,SHRI MODERN TRAILERS,0,0,2,0,0,0,0,0,0,0,2
3W,SHRI NAMO ELECTRIC AUTOMOTIVE,0,0,131,238,269,170,214,264,645,395,2326
3W,SHRI RAM AUTO TECH PVT LTD,35,469,127,26,0,0,0,4,3,0,664
3W,SHRI RAM AUTOMOBILES,0,23,17,2,0,0,0,0,0,0,42
3W,SHRI RAM INDUSTRIES,0,0,0,1,0,0,0,0,0,0,1
LMV,SHRI SAKTHI VINAYAKA TRAILERS,0,0,3,0,0,0,0,0,0,0,3
3W,SHRI SHIVSHANKAR ENTERPRISES,0,0,0,0,5,4,2,8,0,0,19
LMV,SHRI VAIRAMUTHU TRAILERS,0,2,2,0,0,0,0,0,0,0,4
LMV,SHRI VENKATESHWARA TRAILOR,1,0,0,1,0,0,0,0,0,0,2
3W,SHRIRAJ ELECTRIC VEHICLES,0,0,0,40,17,158,1318,2003,2726,1240,7502
3W,SHRIRAM ASTRAL MOTOR CO,0,0,0,0,6,4,0,0,0,0,10
3W,SHUBHAM MANUFACTURER,0,0,0,0,0,0,0,0,6,13,19
3W,SIARSA ELECTRICALS PVT LTD,0,0,13,28,21,0,0,0,0,0,62
LMV,SIDHI DURGA ENGINEERING,0,0,0,2,0,0,0,0,0,0,2
2W,SIMPLEENERGY PVT LTD,0,0,0,0,0,0,0,0,65,568,633
LMV,SINDHU MOTORS,0,1,0,0,0,0,0,0,0,0,1
3W,SINGH AUTOMOBILES,0,0,0,0,0,0,0,0,359,322,681
3W,SINGHAL ENTERPRISES,0,0,0,96,97,42,46,38,136,63,518
3W,SIRF INDIA VEHICLES PVT LTD,0,0,0,24,45,44,24,5,27,53,222
3W,SITYOG ENGINEERING PVT LTD,0,0,0,0,0,15,1,0,5,2,23
LMV,SIVA ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
LMV,SIVASAKTHI ENGINEERING WORKS,0,1,0,0,0,0,0,0,0,0,1
3W,SIWACH STEEL PVT LTD,0,24,285,331,188,42,47,98,24,8,1047
3W,SIX SENSES AUTOMOTIVE PVT LTD,0,0,0,0,63,8,0,4,12,33,120
3W,SKS AUTOMOBILES (I) PVT LTD,0,0,20,0,0,0,0,5,2,0,27
3W,SKS TRADE INDIA PVT LTD,0,0,203,770,1354,854,2236,6308,10078,5687,27490
LMV,SKS TRADE INDIA PVT LTD,0,0,0,0,3,0,0,0,0,1,4
3W,SKYRIDE AUTOMOTIVE,0,301,344,285,447,393,520,90,40,14,2434
3W,SKYY RIDER ELECTRIC PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,143,144
2W,SMAP VEHICLES (IMPORTER: ELEGO MOTORS),0,0,0,0,0,0,0,0,15,2,17
3W,SMART ELECTRO MOTORS,0,0,4,23,25,31,38,48,47,44,260
3W,SMARTOMATIC VEHICLES PRIVATE LIMITED,0,0,0,0,0,0,0,0,2,0,2
3W,SMITH MOTORS PVT LTD,0,0,0,0,0,0,0,0,4,0,4
3W,SML ISUZU LTD,0,1,17,0,0,0,0,0,0,0,18
LMV,SML ISUZU LTD,0,4,0,0,0,0,0,0,0,0,4
MMV,SML ISUZU LTD,1,0,0,0,0,0,0,0,0,0,1
3W,SN SOLAR ENERGY,0,0,0,61,121,28,44,23,187,244,708
2W,SOKUDO ELECTRIC INDIA PVT LTD,0,0,0,0,0,0,0,0,132,232,364
3W,SONI E VEHICLE PVT LTD,0,41,109,380,320,41,74,173,64,22,1224
LMV,SONI E VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,SONI E VEHICLES PVT LTD,44,252,138,13,0,0,0,0,0,0,447
3W,SPEED AUTO TECH,0,0,0,0,0,0,0,8,87,20,115
3W,SPEEDWAYS ELECTRIC,0,0,85,64,19,11,3,1,5,2,190
3W,SPEEDWAYS ELECTRIC PVT LTD,0,14,11,0,0,0,0,0,0,0,25
3W,SPEEGO VEHICLES CO PVT LTD,0,33,427,900,913,891,1877,3734,4770,2228,15773
3W,SPEEGO VEHICLES PVT. LTD,227,287,164,15,0,13,73,131,12,0,922
3W,SRD RENEWABLES,0,0,0,5,162,113,481,1222,2121,941,5045
LMV,SRI RAMA TRAILERS,1,0,0,0,0,0,0,0,0,0,1
3W,SRI SAI MARKETING,0,1,0,0,0,0,0,0,0,0,1
2W,SRIVARU MOTORS PVT LTD,0,0,0,0,0,0,77,60,24,0,161
3W,SSB INDISTRIES,0,0,69,141,391,311,603,1746,2248,1021,6530
3W,SSEV ENTERPRISES PRIVATE LIMITED,0,0,0,0,0,0,0,340,767,620,1727
3W,SSV TECHNOLOGIES,0,0,0,0,0,0,0,2,0,1,3
3W,STANDARD CORPORATION INDIA LTD,0,0,3,0,0,0,0,0,0,0,3
3W,STAR BULL E MOTORS,0,0,0,185,361,257,434,2217,2077,1133,6664
3W,STAR IGLOBAL AUTOMOTIVE PVT LTD,0,0,0,0,0,12,81,211,570,315,1189
3W,STAR INDUSTRIES,0,0,0,0,0,0,0,0,0,47,47
3W,SUCCESSPATH MARKETING PVT LTD,0,17,30,6,0,0,0,0,0,0,53
3W,SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,0,0,0,0,0,0,0,11,175,223,409
3W,SUGANJI RARA ELECTRIC VEHICLE PVT LTD,0,0,0,2,0,18,10,4,0,0,34
2W,SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),0,0,0,0,0,0,0,0,0,1,1
3W,SUMFONL AUTO TRADERS PVT LTD,0,0,9,197,345,216,78,77,286,162,1370
3W,SUN AUTO,0,0,0,0,0,0,0,0,0,2,2
3W,SUN INDUSTRIES,0,0,0,0,0,0,0,0,0,207,207
3W,SUN MOTORS,1,3,7,4,0,0,0,0,0,0,15
3W,SUN MOTORS PVT LTD,0,0,6,0,0,0,0,0,0,0,6
3W,SUN SHINE ENGINEERING WORKS,0,1,1,0,0,0,0,0,0,0,2
3W,SUNANDA GREENTECH PVT LTD,0,0,0,0,0,0,0,0,11,112,123
3W,SUNARIYA MOTORS PVT LTD,0,0,0,0,0,0,0,0,36,31,67
3W,SUNKU AUTO LTD,0,0,6,0,0,0,0,0,0,0,6
3W,SUNLECTRA AUTO,0,0,0,0,0,0,1,0,0,0,1
3W,SUNSHINE TECHNOLOGIES,0,0,0,0,17,0,0,0,2,7,26
3W,SUNULTRA POWER SOLUTIONS PVT LTD,0,0,0,0,0,9,28,82,142,52,313
3W,SUPER METRO INDUSTRIES,0,0,0,0,0,1,94,1006,1198,538,2837
3W,SUPER POWER MOTORS,0,0,0,0,0,0,0,0,2,107,109
2W,SUPERECO AUTOMOTIVE CO,0,0,0,1,0,7,8,14,128,15,173
3W,SUPERECO AUTOMOTIVE CO,1,8,325,700,444,157,134,55,134,71,2029
3W,SUPERECO AUTOMOTIVE CO LLP,0,1,47,5,0,2,0,0,1,0,56
3W,SUPERTECH EV LIMITED,0,0,3,111,82,116,356,1038,2020,1390,5116
LMV,SUPERTECH EV LIMITED,0,0,0,0,0,0,0,0,0,1,1
3W,SUPREME SALES AGENCY,0,0,0,0,0,0,0,0,0,50,50
3W,SUPREME SMART POWER PVT LTD,0,0,0,0,0,0,64,244,434,219,961
3W,SUPROVA ENTERPRISE,0,0,0,0,0,2,0,0,4,3,9
3W,SURYA INTERNATIONAL,0,0,0,0,0,0,0,0,16,13,29
LMV,SURYA TRAILORS AND TANKERS,1,2,0,0,0,0,0,0,0,0,3
2W,SUZUKI MOTORCYCLE INDIA PVT LTD,17,24,20,2,1,0,0,9,0,0,73
3W,SUZUKI MOTORCYCLE INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0,1
3W,SVS ENTERPRISES,0,0,0,0,0,0,0,0,84,17,101
3W,SWADESHI INDUSTRIES,0,0,0,19,18,0,0,0,0,0,37
3W,SWARNCHAKRA AUTOMOBILES PVT LTD,0,0,0,0,0,0,15,7,5,4,31
3W,SWASTIK,0,0,0,0,27,40,0,0,0,1,68
LMV,SWITCH MOBILITY AUTOMOTIVE LTD,0,0,0,0,0,0,0,1,0,84,85
3W,SYNDICATE AUTO COMPONENTS,0,0,0,0,11,13,58,227,77,51,437
3W,T U K INDUSTRIES,0,0,0,2,145,161,326,1240,2845,1948,6667
3W,TAFE LIMITED,0,0,1,0,0,0,0,0,0,0,1
LMV,TAFE LIMITED,0,1,0,1,0,0,0,0,0,0,2
3W,TAMILNADU MOPEDS LTD,0,0,0,1,0,0,0,0,0,0,1
3W,TAO POWER PRIVATE LIMITED,0,0,0,0,0,0,0,6,11,3,20
3W,TARA MAA MACHINERY,0,0,0,0,0,0,0,0,26,54,80
2W,TATA MOTORS LTD,0,2,0,0,0,0,0,0,0,0,2
3W,TATA MOTORS LTD,0,0,1,0,0,0,0,0,0,1,2
LMV,TATA MOTORS LTD,9,10,3,144,419,2717,10033,1621,1766,3076,19798
MMV,TATA MOTORS LTD,1,0,4,4,119,26,253,15,275,5,702
LMV,TATA MOTORS PASSENGER VEHICLES LTD,0,0,0,0,0,0,0,30610,21420,490,52520
LMV,TATA PASSENGER ELECTRIC MOBILITY LTD,0,0,0,0,0,0,0,0,38580,35830,74410
3W,TAURUS ELECTRIC VEHICLES,0,0,0,0,35,24,76,234,346,170,885
3W,TEJASGREEN AUTOMOTIVE PVT LTD,0,0,0,24,141,16,7,42,1,0,231
LMV,TELSA INC,0,0,0,0,0,0,1,0,0,0,1
3W,TEREX CORPORATION,0,15,6,1,0,0,0,0,0,0,22
3W,TERRA MOTORS INDIA PVT LTD,0,64,893,2704,3545,2631,3404,7876,8810,4959,34886
LMV,TERRA MOTORS INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1
3W,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,32,14,38,79,58,4,225
LMV,THE COMMERCIAL MOTORS LIMITED,0,0,0,0,1,0,0,0,0,0,1
3W,THE COMMERCIAL MOTORS PVT LTD,0,0,0,0,0,0,0,0,8,10,18
2W,THUKRAL ELECTRIC BIKES PVT LTD,0,0,0,0,0,0,0,1,48,8,57
3W,THUKRAL ELECTRIC BIKES PVT LTD,326,1493,1825,2850,3303,1986,3895,5915,7271,3924,32788
3W,TI CLEAN MOBILITY PVT LTD,0,0,0,0,0,0,0,1,1273,3139,4413
3W,TOP TEAM MACHINES PVT LTD,0,14,58,919,1103,869,943,1382,1743,809,7840
2W,TORK MOTORS PVT LTD,0,0,0,0,0,1,0,319,1589,931,2840
3W,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,1,0,0,0,0,0,0,1
LMV,TOYOTA KIRLOSKAR MOTOR PVT LTD,19,24,12,28,3,0,6,1,0,0,93
LMV,TOYOTA MATERIAL HANDLING INDIA PVT LTD,0,0,0,0,1,0,3,0,0,0,4
3W,TRANSVAHAN TECHNOLOGIES INDIA PVT LTD,0,0,0,0,9,0,0,0,0,0,9
3W,TRINITY ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,2,13,9,57,120,201
3W,TRISHIKA INDUSTRIES,0,0,0,11,108,146,416,1355,1361,422,3819
3W,TRUPART AUTOMOTIVE INDIA PVT LTD,0,0,2,71,61,10,2,0,10,1,157
3W,TRUZ INDUSTRIES,0,0,0,5,6,0,0,0,3,4,18
3W,TSM ENGINEERING PVT LTD,0,5,42,47,26,5,0,7,296,227,655
3W,TSR TRADE COM,0,0,0,0,10,35,35,29,30,9,148
